,additional_charges,dropoff_census_tract,dropoff_centroid_latitude,dropoff_centroid_location,dropoff_centroid_longitude,dropoff_community_area,fare,pickup_census_tract,pickup_centroid_latitude,pickup_centroid_location,pickup_centroid_longitude,pickup_community_area,shared_trip_authorized,tip,trip_end_timestamp,trip_id,trip_miles,trip_seconds,trip_start_timestamp,trip_total,trips_pooled
57,2.55,17031320100,41.8849871918,"{u'type': u'Point', u'coordinates': [-87.6209929134, 41.8849871918]}",-87.6209929134,32,7.5,17031839100,41.8809944707,"{u'type': u'Point', u'coordinates': [-87.6327464887, 41.8809944707]}",-87.6327464887,32,True,0,2020-01-01T00:00:00.000,31a8cd6edda6f5c92763fc086e1b4502b925ee68,2.016203,856,2019-12-31T23:45:00.000,10.05,1
58,2.55,17031410800,41.7979652088,"{u'type': u'Point', u'coordinates': [-87.5896070309, 41.7979652088]}",-87.5896070309,41,10,17031841000,41.8492467545,"{u'type': u'Point', u'coordinates': [-87.6241352979, 41.8492467545]}",-87.6241352979,33,False,0,2019-12-31T23:45:00.000,052f2e7fee833535632b3e3a84c706fa3374e7ca,5.41314,555,2019-12-31T23:45:00.000,12.55,1
59,2.55,17031031700,41.9654457842,"{u'type': u'Point', u'coordinates': [-87.6631958495, 41.9654457842]}",-87.6631958495,3,5,17031832000,41.9462945357,"{u'type': u'Point', u'coordinates': [-87.6542980837, 41.9462945357]}",-87.6542980837,6,False,0,2019-12-31T23:45:00.000,07d565ec07ea9668df99f397c71afbf77b2d34e7,1.661893,465,2019-12-31T23:45:00.000,7.55,1
60,2.55,,,,,,10,17031720500,41.7028338734,"{u'type': u'Point', u'coordinates': [-87.6891070244, 41.7028338734]}",-87.6891070244,72,False,3,2020-01-01T00:00:00.000,17c4a19d4ee9ff65664f6aa080d60afda864e4b1,5.633214,697,2019-12-31T23:45:00.000,15.55,1
61,2.55,17031081201,41.8991556134,"{u'type': u'Point', u'coordinates': [-87.6262105324, 41.8991556134]}",-87.6262105324,8,5,17031081700,41.8920421365,"{u'type': u'Point', u'coordinates': [-87.6318639497, 41.8920421365]}",-87.6318639497,8,False,3,2019-12-31T23:45:00.000,2f97b80d32a153452c84e86aa2e9d65ed9e5486e,0.745055,348,2019-12-31T23:45:00.000,10.55,1
62,2.55,17031241400,41.906025969,"{u'type': u'Point', u'coordinates': [-87.6753116216, 41.906025969]}",-87.6753116216,24,5,17031241200,41.9067077917,"{u'type': u'Point', u'coordinates': [-87.6846859492, 41.9067077917]}",-87.6846859492,24,False,0,2019-12-31T23:45:00.000,61d187215c1dad6195bec8bdbbb5348ea883b314,1.241592,392,2019-12-31T23:45:00.000,7.55,1
63,2.55,17031070400,41.9289672664,"{u'type': u'Point', u'coordinates': [-87.6561568309, 41.9289672664]}",-87.6561568309,7,5,17031070101,41.9292629902,"{u'type': u'Point', u'coordinates': [-87.6358909539, 41.9292629902]}",-87.6358909539,7,False,0,2020-01-01T00:00:00.000,6484159c0efb5d6f7c7b60a89f73255fc5973b6e,1.451342,478,2019-12-31T23:45:00.000,7.55,1
64,2.55,17031071100,41.9217781876,"{u'type': u'Point', u'coordinates': [-87.6510618838, 41.9217781876]}",-87.6510618838,7,7.5,17031081800,41.8932163595,"{u'type': u'Point', u'coordinates': [-87.6378442095, 41.8932163595]}",-87.6378442095,8,False,0,2020-01-01T00:00:00.000,6849dbecdebc4f1cded96930787e39f9d9613ef3,2.431073,540,2019-12-31T23:45:00.000,10.05,1
65,2.55,,41.9272609555,"{u'type': u'Point', u'coordinates': [-87.7655016086, 41.9272609555]}",-87.7655016086,19,5,,41.9540276487,"{u'type': u'Point', u'coordinates': [-87.7633990316, 41.9540276487]}",-87.7633990316,15,False,0,2020-01-01T00:00:00.000,6b4e87abc5935c41e385e71862780b9b33ecb6de,2.328307,460,2019-12-31T23:45:00.000,7.55,1
66,2.55,17031061902,41.9431550855,"{u'type': u'Point', u'coordinates': [-87.640698076, 41.9431550855]}",-87.640698076,6,7.5,17031062100,41.9426918444,"{u'type': u'Point', u'coordinates': [-87.6517705068, 41.9426918444]}",-87.6517705068,6,False,0,2020-01-01T00:00:00.000,6e70a11b903ee2e91541eec3d463e41945afa1a5,2.494769,555,2019-12-31T23:45:00.000,10.05,1
